Source,Location ID,Jurisdiction,Latitude,Longitude,Time Zone,Local Time Zone,Distance to Shore,Directionality Coefficient,Energy Period,Maximum Energy Direction,Mean Absolute Period,Mean Wave Direction,Mean Zero-Crossing Period,Wave Power,Peak Period,Significant Wave Height,Spectral Width,Water Depth,Version
DOE-WPTO US Wave dataset,97045,b'Federal',18.333422,-155.75226,0,-10,64277.215,-,s,deg,s,deg,s,W/m,s,m,-,4970.0254,v1.0.0
Year,Month,Day,Hour,Minute,Directionality Coefficient,Energy Period,Maximum Energy Direction,Mean Absolute Period,Wave Power,Peak Period,Significant Wave Height,Spectral Width
2010,11,21,21,0,0.41019299626350403,9.240500450134277,326.25,7.085100173950195,10530,14.289799690246582,1.5254000425338745,0.42750000953674316
2010,11,22,0,0,0.44270700216293335,9.43280029296875,326.25,7.272500038146973,11457,14.289799690246582,1.574620008468628,0.41850998997688293
2010,11,22,3,0,0.4755530059337616,9.716500282287598,326.25,7.724599838256836,12325,14.289799690246582,1.6088500022888184,0.3902300000190735
2010,11,22,6,0,0.5064700245857239,9.77869987487793,326.25,7.957200050354004,12696,14.289799690246582,1.627519965171814,0.37007999420166016
2010,11,22,9,0,0.5060189962387085,9.363900184631348,326.25,7.4004998207092285,12990,14.289799690246582,1.6826399564743042,0.3924500048160553
2010,11,22,12,0,0.4971970021724701,9.288100242614746,326.25,7.5065999031066895,12802,13.00629997253418,1.6770000457763672,0.3791100084781647
2010,11,22,15,0,0.48077601194381714,9.247699737548828,318.75,7.572299957275391,12447,13.00629997253418,1.657170057296753,0.36733001470565796
2010,11,22,18,0,0.4577839970588684,9.184599876403809,318.75,7.565199851989746,12022,13.00629997253418,1.6342099905014038,0.36180999875068665
2010,11,22,21,0,0.43071600794792175,9.152799606323242,318.75,7.588399887084961,11420,13.00629997253418,1.5955499410629272,0.3547399938106537
2010,11,23,0,0,0.399836003780365,9.068900108337402,318.75,7.54610013961792,10756,13.00629997253418,1.5555700063705444,0.35249000787734985
2010,11,23,3,0,0.40470901131629944,8.988200187683105,123.75,7.537600040435791,10117,13.00629997253418,1.5153900384902954,0.3487299978733063
2010,11,23,6,0,0.4285860061645508,8.842700004577637,123.75,7.405200004577637,9645,13.00629997253418,1.4917800426483154,0.35242998600006104
2010,11,23,9,0,0.44544899463653564,8.671699523925781,123.75,7.145899772644043,9341,13.00629997253418,1.4828300476074219,0.36239999532699585
2010,11,23,12,0,0.4521830081939697,8.153400421142578,131.25,6.402900218963623,9579,11.83810043334961,1.549299955368042,0.40630000829696655
2010,11,23,15,0,0.4732320010662079,7.842100143432617,146.25,6.189700126647949,10082,11.83810043334961,1.620669960975647,0.4173299968242645
2010,11,23,18,0,0.49487701058387756,7.85260009765625,146.25,6.197299957275391,10120,8.926199913024902,1.6228400468826294,0.41113999485969543
2010,11,23,21,0,0.5151150226593018,7.821400165557861,153.75,6.213600158691406,10308,8.926199913024902,1.6410399675369263,0.4077500104904175
2010,11,24,0,0,0.538362979888916,7.831399917602539,153.75,6.288700103759766,10757,8.926199913024902,1.6750999689102173,0.4032900035381317
2010,11,24,3,0,0.5694670081138611,7.749499797821045,161.25,6.207699775695801,11844,8.926199913024902,1.7669299840927124,0.41363999247550964
2010,11,24,6,0,0.5814269781112671,7.6946001052856445,161.25,6.160699844360352,13459,8.926199913024902,1.8901499509811401,0.42486000061035156
2010,11,24,9,0,0.5734779834747314,7.838200092315674,168.75,6.283899784088135,14700,8.926199913024902,1.9570000171661377,0.4271300137042999
2010,11,24,12,0,0.555757999420166,7.959499835968018,176.25,6.335700035095215,15635,8.926199913024902,2.002779960632324,0.43342000246047974
2010,11,24,15,0,0.5428580045700073,7.869500160217285,183.75,6.185100078582764,16973,8.926199913024902,2.0987799167633057,0.4495700001716614
2010,11,24,18,0,0.5455880165100098,7.828100204467773,183.75,6.208000183105469,18307,9.807000160217285,2.1853699684143066,0.4474799931049347
2010,11,24,21,0,0.5631899833679199,7.559800148010254,183.75,6.020299911499023,20223,9.807000160217285,2.337589979171753,0.4521400034427643
2010,11,25,0,0,0.6034740209579468,7.454599857330322,191.25,6.164000034332275,23087,6.730500221252441,2.5146100521087646,0.4212299883365631
2010,11,25,3,0,0.6512629985809326,7.143400192260742,191.25,5.98360013961792,26789,6.730500221252441,2.7670600414276123,0.41098999977111816
2010,11,25,6,0,0.6693270206451416,7.311399936676025,191.25,6.252900123596191,27202,7.394700050354004,2.755429983139038,0.38231000304222107
